date	palladium	platinum	gold
2014-01-23	810.15	1577.83	1349.7
2014-01-24	817.37	1588.78	1361.46
2014-01-25	818.4	1597.15	1387.04
2014-01-28	816.86	1594.66	1417.23
2014-01-29	804.86	1580.77	1395.42
2014-01-30	796.76	1561.29	1394.32
2014-01-31	810.77	1583.0	1420.96
2014-02-01	798.53	1564.26	1409.87
2014-02-04	802.04	1570.09	1412.06
2014-02-05	801.24	1573.99	1428.11
2014-02-06	799.14	1553.32	1412.82
2014-02-07	793.87	1539.73	1405.18
2014-02-08	794.37	1540.89	1401.82
2014-02-11	800.26	1552.45	1423.36
2014-02-12	806.6	1556.15	1435.05
2014-02-13	806.87	1555.62	1437.72
2014-02-14	813.71	1563.53	1446.12
2014-02-15	831.99	1611.84	1483.19
2014-02-18	831.64	1607.99	1496.28
2014-02-19	830.45	1611.05	1488.69
2014-02-20	844.35	1622.34	1508.79
2014-02-21	842.9	1624.86	1510.73
2014-02-22	845.51	1627.92	1515.2
2014-02-25	843.72	1631.5	1521.9
2014-02-26	843.9	1638.64	1524.0
2014-02-27	846.83	1655.69	1541.78
2014-02-28	849.57	1653.95	1542.68
2014-03-01	862.05	1679.9	1544.66
2014-03-04	874.85	1698.25	1572.22
2014-03-05	872.3	1693.22	1564.19
2014-03-06	891.0	1698.47	1547.07
2014-03-07	898.96	1713.14	1549.66
2014-03-08	904.69	1726.61	1571.85
2014-03-12	909.94	1733.27	1577.61
2014-03-13	896.22	1710.92	1590.39
2014-03-14	908.38	1728.86	1606.96
2014-03-15	914.11	1736.33	1613.82
2014-03-18	913.21	1738.05	1624.93
2014-03-19	899.98	1707.39	1596.65
2014-03-20	894.01	1697.23	1566.85
2014-03-21	878.22	1669.38	1540.52
2014-03-22	908.2	1681.8	1566.52
2014-03-25	925.57	1666.25	1537.19
2014-03-26	909.74	1655.44	1518.83
2014-03-27	893.54	1620.12	1498.17
2014-03-28	873.98	1608.4	1481.42
2014-03-29	877.74	1610.9	1486.7
2014-04-01	889.46	1627.81	1481.29
2014-04-02	868.18	1603.49	1448.66
2014-04-03	882.89	1619.58	1455.24
2014-04-04	894.07	1643.12	1469.84
2014-04-05	899.41	1643.59	1476.38
2014-04-08	892.87	1635.22	1481.27
2014-04-09	885.73	1642.32	1502.6
2014-04-10	891.91	1653.94	1505.38
2014-04-11	896.28	1656.52	1510.76
2014-04-12	902.52	1667.61	1508.69
2014-04-15	937.23	1693.95	1532.54
2014-04-16	920.38	1675.41	1516.43
2014-04-17	925.71	1669.3	1506.89
2014-04-18	920.64	1657.62	1500.81
2014-04-19	915.22	1641.92	1484.24
2014-04-22	918.57	1647.92	1489.66
2014-04-23	899.32	1617.4	1480.61
2014-04-24	898.91	1609.79	1471.63
2014-04-25	900.58	1606.13	1472.48
2014-04-26	928.73	1631.06	1495.04
2014-04-29	938.15	1653.93	1507.99
2014-04-30	914.74	1622.88	1480.28
2014-05-01	922.25	1632.03	1483.88
2014-05-06	940.21	1641.91	1476.28
2014-05-07	933.12	1659.89	1499.98
2014-05-08	931.27	1657.11	1496.19
2014-05-09	904.48	1618.61	1454.44
2014-05-13	908.99	1619.89	1463.39
2014-05-14	904.96	1618.15	1449.67
2014-05-15	917.29	1635.94	1450.97
